Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Fati;A;6,67;1,44;5;33;5;Monaco;77,91;57,518;60,319;59,308;;3;;;;;7;17;5;12;;78,39;102;;3;52,63;1;;;2;2;0;;3;21;5;5;;;;;1;;1;1;251,93;-51,5;48,6;FALSE
Panichelli;A;5,43;1,43;5;86;5;Strasbourg;18,29;52,126;51,866;51,603;4;2;;;;1;18;18;11;11;1;74,7;215;3;2;36,25;9;;;5;6;0;10;5;62;5;11;9;;3;;7;4;4;15;163,19;-75,66;17,8;FALSE
Kebbal;MO;6,64;0,9;4;100;7;Paris FC;28,71;31,83;34,544;33,762;2;1;;;2;3;16;44;11;28;9;85,48;555;2;5;60,66;3;;;14;11;54,35;3;11;95;14;16;9;;;;-1;2;6;8;269,54;-93,34;5,03;FALSE
Lepaul;A;5,57;1,27;4;100;6;Rennes;57,29;46,206;47,639;46,507;1,5;;;;1;1;13;53;8;39;3;71,52;167;;;25;9;;;4;4;50;1;5;48;4;2;3;;1;;2;3;8;11;125,76;-37,11;16,2;FALSE
João Neves;MD;6,5;1,8;3;67;8,5;Paris;81,71;86,587;84,868;85,501;1;;;1;;;6;26;3;17;;92,77;209;1;;50;2;;;4;2;0;;3;14;1;4;;;3;;6;;2;4;238,83;-41,83;-2,43;FALSE
Del Castillo;A;6,17;1,69;3;100;6,5;Brest;60,63;46,703;47,511;48,014;1;2;;;2;3;10;22;8;17;5;71,82;333;6;11;45,33;11;;;10;17;58,14;1;8;102;13;16;8;;-1;;;;2;15;261,22;-100,17;12,33;FALSE
Pagis;A;5,88;1,75;3;50;6,5;Lorient;39,37;38,616;38,894;39,684;;;;1;;1;7;44;6;36;1;75,91;124;4;1;38,1;3;;;1;6;57,14;1;3;32;2;11;3;;;;3;1;3;4;160,82;-52,45;21,35;FALSE
Soumaré;A;5,86;1,65;3;100;6,5;Le Havre;21,4;33,361;32,121;31,78;1,5;1;;;1;5;16;51;11;33;6;74,6;298;3;4;46,85;13;;;6;15;58,33;7;8;80;9;11;11;;-2;;-2;3;7;22;232,51;-107,77;10,37;FALSE
Aubameyang;A;5,7;1,4;3;40;6;Marseille;78,6;66,907;65,096;64,196;0,5;;;;;2;6;6;5;5;2;80,06;95;1;;42,11;2;;;1;;54,55;2;3;22;2;3;2;;1;;3;2;2;7;135,76;-30,2;16,14;FALSE
Barcola;A;5,67;1,51;3;83;7,5;Paris;81,71;86,587;84,868;85,501;3;;;2;;1;16;71;10;46;4;87,63;237;3;1;36,96;4;;;2;6;50;;1;50;8;6;5;;5;;9;4;22;7;153,48;-55,98;11,2;FALSE
Ndiaye;MD;5,64;0,94;3;71;5,5;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;;8;18;5;10;4;88,58;202;2;3;48,57;4;;;7;9;52;3;7;26;1;13;1;;-2;;-2;1;1;6;151,57;-76,29;-4,14;FALSE
Diop;MO;5,43;1,27;3;57;7;Nice;36,79;44,669;46,073;47,603;3;1;;;;1;13;34;8;23;3;79,9;258;2;2;44;5;;;4;9;50;2;7;64;8;7;7;;-1;;-3;;3;8;138,81;-83,67;1,01;FALSE
Tosin;A;5,29;1,25;3;71;4,5;Lorient;39,37;38,616;38,894;39,684;2;;;;;;13;45;8;26;;78,88;139;1;3;45,95;4;;;3;3;50;;5;33;6;6;7;;-2;;-7;1;4;2;118,86;-55,27;13,29;FALSE
Magri;A;5;1,73;3;100;6;Toulouse;67,12;53,299;54,256;54,084;3;;;;;1;16;54;10;36;5;73,16;191;3;1;41,3;11;;;2;6;57,14;6;7;58;5;8;11;;;;-1;2;7;15;123,5;-79,49;11,14;FALSE
Godo;A;6,17;1,76;2;67;8;Strasbourg;18,29;52,126;51,866;51,603;2;;;;;;4;4;3;3;1;89,44;86;2;;42,86;1;;;2;3;60;2;;18;;3;5;;3;;7;;;5;205,43;-47,33;19,1;FALSE
Greenwood;A;6;1,15;2;86;7;Marseille;78,6;66,907;65,096;64,196;3;2;;;3;4;19;114;12;81;5;81,98;402;2;1;34,88;4;;;3;5;60;1;3;95;17;9;5;;3;;10;2;11;12;209,31;-92,56;4,49;FALSE
Tolisso;MD;6;0,91;2;100;6,5;Lyon;63,21;62,089;62,786;62,191;5;;;;;2;12;52;8;32;3;83,18;417;6;3;50,6;12;;;5;16;55,56;7;5;70;8;17;10;;3;;4;2;6;7;188,29;-81,87;-3,59;FALSE
Saïd;A;5,93;1,51;2;86;7;Lens;71,29;60,74;60,25;60,218;1,5;1;;;2;5;12;21;9;14;5;80,33;201;3;4;38,46;13;;;7;6;55,56;6;4;46;8;8;6;;2;;4;4;6;9;189,71;-66,93;6,23;FALSE
Emegha;A;5,88;0,85;2;50;6;Strasbourg;18,29;52,126;51,866;51,603;2;;;;2;2;10;54;8;37;1;64,29;45;;;46,67;6;;;;4;0;5;2;7;2;1;1;;2;;2;2;16;2;141;-29,15;15,02;TRUE
Thauvin;MO;5,86;1,11;2;86;7;Lens;71,29;60,74;60,25;60,218;1,5;1;;;;3;11;55;6;41;9;78,67;365;2;5;43,48;4;;;7;13;57,5;2;5;105;15;10;11;;2;;4;2;6;15;207,13;-105,19;-1,81;FALSE
Fofana;A;5,86;1,21;2;100;6,5;Lyon;63,21;62,089;62,786;62,191;4;;;;1;3;14;41;12;33;9;82,32;284;3;3;48,33;11;;;8;5;59,38;2;3;60;8;15;3;;3;;4;4;7;15;189,81;-79,67;6,51;FALSE
Labeau Lascary;A;5,83;1,26;2;33;6;Brest;60,63;46,703;47,511;48,014;1;;;;;;3;9;2;6;1;85,35;44;1;;34,78;6;;;3;3;0;;;10;1;2;1;;1;;4;;;3;133,23;-26,83;20,37;TRUE
Haraldsson;MO;5,83;1,21;2;100;6,5;Lille;76,08;71,844;67,073;68,927;1;;;;;;11;40;7;27;5;83,42;313;1;4;54;6;;;5;18;50;1;9;59;11;11;3;;;;3;2;7;7;175,45;-78,48;2,28;FALSE
Fernandez-Pardo;A;5,79;1,32;2;71;8,5;Lille;76,08;71,844;67,073;68,927;;;;;1;3;11;34;8;28;3;81,71;221;1;2;61,11;2;;;2;7;56;1;9;39;9;14;5;;1;;4;2;5;5;164,69;-61,89;8,61;FALSE
Blas;MO;5,75;0,88;2;83;6,5;Rennes;57,29;46,206;47,639;46,507;0,5;1;;;;1;11;48;7;33;5;89,68;236;4;2;39,53;3;;;8;8;53,85;1;5;38;6;8;5;;1;;-1;;5;7;162,42;-88,72;-3,75;FALSE
Simon;MO;5,71;0,95;2;100;6;Paris FC;28,71;31,83;34,544;33,762;2;;;;2;3;15;43;9;32;9;81,01;244;5;2;31,03;1;;;6;7;55,17;1;6;66;6;9;16;;;;-1;1;3;14;167,51;-83,96;-0,16;FALSE
Akliouche;MO;5,67;0,93;2;100;6,5;Monaco;77,91;57,518;60,319;59,308;;;;;1;2;10;63;6;37;8;81,17;382;4;7;28,57;5;;;9;19;54,17;6;6;89;9;11;12;;3;;6;1;8;15;189,32;-109,25;-3,33;FALSE
Doucouré;DL;5,57;1,27;2;57;7;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;2;7;18;5;7;2;78,35;223;4;7;50;3;;;7;8;55,81;5;5;48;8;12;5;;-2;;-2;;;12;154,43;-87,79;-5,24;FALSE
Sinayoko;A;5,5;1,29;2;100;6,5;Auxerre;42,71;43,938;41,734;43,012;2;;;1;1;2;15;61;9;38;5;73,79;248;3;4;41,84;6;;;4;3;50;2;7;82;9;11;16;;-3;;-5;1;7;18;148,26;-87,46;4,8;FALSE
Mbappé;MO;5,5;0,58;2;0;6;Lille;76,08;71,844;67,073;68,927;;;;;;;3;10;3;8;;87,85;39;;;14,29;;;;;;100;;;9;4;1;1;;-1;;-3;;1;;82,38;-18,12;4,68;FALSE
Doumbia;MD;5,43;1,37;2;100;7,5;Brest;60,63;46,703;47,511;48,014;2,5;;;;1;1;16;36;12;23;6;83,4;325;4;10;44,44;9;;;6;14;50;2;8;87;6;10;9;;-1;1;;;4;25;179,57;-115;-7,26;FALSE
Ouattara;MO;5,43;1,13;2;71;7;Strasbourg;18,29;52,126;51,866;51,603;2;;;;;2;6;11;5;10;2;88,23;290;5;2;24,14;7;;;6;9;58,33;9;5;43;2;6;4;;3;;7;;1;6;130,86;-97,57;-6,84;FALSE
Fofana;A;5,43;0,89;2;57;6,5;Lens;71,29;60,74;60,25;60,218;1;;;;;;17;17;8;8;4;70,57;167;2;2;54,1;4;;;1;4;50;4;4;46;2;8;7;;2;;4;4;4;13;110,91;-41,23;7,79;FALSE
Gboho;MO;5,36;0,8;2;86;6;Toulouse;67,12;53,299;54,256;54,084;2;;;;;;9;44;7;37;3;72,45;248;3;4;48,19;4;;;10;14;63,64;;8;84;10;10;18;;;;-1;;4;17;129,53;-71,83;1,47;FALSE
Dembélé;A;5,33;1,53;2;67;7;Paris;81,71;86,587;84,868;85,501;1;2;;;1;1;7;80;2;54;2;85,9;201;;1;47,37;1;;;;;58,33;;1;32;9;2;3;;3;;5;1;15;3;179,73;-115,17;15,57;TRUE
Igamane;A;5,2;1,6;2;0;8;Lille;76,08;71,844;67,073;68,927;;;;;1;1;8;8;5;5;1;70,67;71;2;1;34,78;3;;;;5;50;;1;23;2;2;5;;;;3;1;1;3;92,82;-25;11,6;FALSE
Giroud;A;5,08;1,36;2;100;6;Lille;76,08;71,844;67,073;68,927;1;;;;;1;16;16;9;9;1;68,82;182;2;3;54,67;11;;;2;4;0;6;9;49;6;9;4;;;;-2;2;2;9;108,32;-59,3;10,05;FALSE
Boga;A;5,07;1,21;2;57;6,5;Nice;36,79;44,669;46,073;47,603;1;;;;;1;9;33;4;21;5;80,73;177;3;2;62,07;;;;4;1;62,5;;8;39;8;6;2;;-1;;-3;1;5;7;110,1;-61,26;8,6;FALSE
Minamino;MO;4,93;0,93;2;86;6;Monaco;77,91;57,518;60,319;59,308;0,5;;;;1;1;8;58;5;35;3;70,93;219;1;1;16,67;5;;;1;6;50;1;5;59;2;7;5;;2;;4;1;8;8;105,39;-83,36;-2,74;FALSE
Krasso;A;4,93;1,13;2;29;6;Paris FC;28,71;31,83;34,544;33,762;1;1;;;1;1;9;74;7;51;1;74,73;110;;2;31,71;3;;;1;2;50;1;4;40;4;6;3;;;;-1;3;9;14;79,37;-42,36;7,33;FALSE
Ilenikhena;A;4,83;0,93;2;17;6;Monaco;77,91;57,518;60,319;59,308;;;;;;;6;23;3;12;1;85,56;56;;;45;1;;;;1;0;;1;21;3;2;4;;3;;5;2;8;9;55,27;-25,18;7,95;FALSE
Moffi;A;4,79;0,86;2;57;6;Nice;36,79;44,669;46,073;47,603;1,5;;;;;;11;17;6;11;3;79,55;89;;;38,1;1;;;1;3;0;1;3;30;2;5;3;;-1;;-3;3;6;9;58,49;-32,77;7,79;FALSE
Vitinha;MD;6,43;1,17;1;86;7,5;Paris;81,71;86,587;84,868;85,501;4;;;1;3;3;13;36;9;24;5;94,49;757;3;4;59,26;1;;;7;21;58,33;4;3;49;11;6;4;;4;;8;;2;3;237;-71,36;-8,96;FALSE
Aguerd;DC;6,13;0,95;1;100;7,5;Marseille;78,6;66,907;65,096;64,196;3;;;1;;;2;14;1;5;;90,4;370;5;4;64,29;5;;;10;7;0;12;1;28;1;3;1;;4;;9;;2;2;196,13;-73,75;-1,82;FALSE
Pavard;DC;6,13;0,75;1;75;7;Marseille;78,6;66,907;65,096;64,196;3;;;;;1;3;9;2;7;;86,19;218;4;;60;3;;;4;6;66,67;8;;13;3;1;;;4;;9;;;;169,5;-47;0,88;FALSE
Beraldo;DC;6,1;1,24;1;100;8;Paris;81,71;86,587;84,868;85,501;3;;;;;;2;14;1;5;;96,2;500;3;6;62,5;4;;;9;17;0;29;4;20;;2;;;4;;8;;;3;197,9;-91,6;-3,66;FALSE
Thomasson;MO;6;0,96;1;100;7,5;Lens;71,29;60,74;60,25;60,218;1,5;;;;2;3;10;47;6;34;;79,52;446;6;8;49,3;12;;;26;22;52,94;13;6;88;17;26;6;;2;;4;2;8;10;272,86;-150,93;-11,76;FALSE
Tessmann;MD;6;0,65;1;100;6;Lyon;63,21;62,089;62,786;62,191;5;;;;;2;11;29;5;19;5;86,37;462;7;5;51,67;6;;;18;15;60;18;4;62;4;15;4;;3;;4;1;3;8;212,64;-108,43;-12,07;FALSE
Ruiz;MD;5,9;1,08;1;80;7;Paris;81,71;86,587;84,868;85,501;3;;;;1;1;6;41;4;28;6;92,68;459;6;4;46,15;;;;3;8;50;3;4;43;4;11;1;;3;;6;2;4;9;171;-70,4;-7,48;FALSE
Højbjerg;MD;5,79;0,95;1;86;6;Marseille;78,6;66,907;65,096;64,196;2;;;1;;1;12;38;4;19;;93,1;553;5;1;55,56;10;;;11;17;50;7;5;42;7;8;1;;3;;10;3;5;5;200,07;-98,86;-7,46;FALSE
O'Riley;MD;5,75;1,5;1;75;8;Marseille;78,6;66,907;65,096;64,196;2;;;1;1;3;3;29;2;18;2;88,85;226;4;1;26,09;7;;;4;12;50;4;1;31;5;2;3;;4;;9;;3;5;200,88;-84;-11,15;FALSE
Morton;MD;5,75;1,17;1;100;7;Lyon;63,21;62,089;62,786;62,191;5;;;;;;3;3;3;3;2;87,03;425;;6;48,78;9;;;10;9;58,82;10;2;68;10;9;3;;2;;3;;;7;190,83;-114,25;-17,18;FALSE
Mwanga;MD;5,67;0,75;1;100;7;Nantes;23,92;41,358;41,8;41,795;2,5;;;;;;2;18;1;9;1;89,34;385;5;8;60,38;6;;;11;10;60;11;3;42;6;6;2;;1;;1;;2;8;158,83;-88,83;-9,5;FALSE
Doué;DL;5,67;1,26;1;67;5,5;Strasbourg;18,29;52,126;51,866;51,603;1;;;;1;1;1;15;1;8;;78,05;191;3;5;60,71;3;;;3;6;75;11;3;26;2;4;3;;1;;5;;1;4;211;-142,83;-13,9;FALSE
Perraud;DL;5,58;1,07;1;100;7,5;Lille;76,08;71,844;67,073;68,927;1;;;;1;1;7;19;4;11;3;86,8;374;4;4;54,55;4;;;9;12;58,62;7;5;60;10;13;4;;2;;5;;;8;184,67;-133,5;-13,65;FALSE
Gomes;MO;5,58;0,74;1;100;7;Marseille;78,6;66,907;65,096;64,196;2,5;;;1;;1;4;8;1;2;1;90,26;419;1;3;53,13;9;;;3;10;0;1;4;37;10;6;1;;2;;9;1;2;1;147,25;-68,58;-4,45;FALSE
Ajorque;A;5,57;1,43;1;100;8,5;Brest;60,63;46,703;47,511;48,014;1,5;;;;3;1;15;63;8;38;3;66,63;283;1;4;60;17;;;2;10;50;11;10;91;13;1;9;;-1;;;1;15;19;155;-59,14;3,79;FALSE
Chotard;MD;5,5;0,84;1;83;7;Brest;60,63;46,703;47,511;48,014;1,5;;;1;;;6;24;5;15;2;85,24;263;6;8;54,55;5;;;6;13;50;14;4;36;1;8;1;;-1;;;;;5;155,83;-81,5;-7,72;FALSE
Murillo;DL;5,5;0,91;1;71;7;Marseille;78,6;66,907;65,096;64,196;1,5;;;;;2;3;13;2;7;4;83,21;336;;6;48,89;12;;;8;13;61,11;13;4;52;5;11;2;;3;;10;;1;6;153,07;-109,86;-11,09;FALSE
Mukau;MD;5,5;0;1;80;5,5;Lille;76,08;71,844;67,073;68,927;;;;;;;6;16;5;13;1;90,99;133;2;2;38,46;5;;;2;9;50;2;5;15;2;6;;;;;-2;1;1;3;110,4;-53,9;-3,18;FALSE
Zabarnyi;DC;5,42;1,02;1;83;7;Paris;81,71;86,587;84,868;85,501;4;;;;;;1;11;1;4;;90,55;458;5;5;40,74;3;;;9;16;0;16;5;38;;6;1;;3;;7;;;5;136,08;-98,5;-10,83;FALSE
Marchetti;MD;5,38;0,63;1;75;6;Paris FC;28,71;31,83;34,544;33,762;;;;;;;10;40;6;30;;86,51;152;3;1;55,56;2;;;4;4;0;7;5;19;2;1;3;;;;-2;;2;4;134,25;-89,12;-8;FALSE
Mama Baldé;A;5,38;0,75;1;100;6;Brest;60,63;46,703;47,511;48,014;1;;;;1;;14;39;11;21;2;72,67;121;1;5;44,19;5;;;2;5;50;1;7;36;4;;5;;-3;;-5;;6;11;123,75;-62,87;6,67;TRUE
Igor Paixão;A;5,38;1,11;1;75;7;Marseille;78,6;66,907;65,096;64,196;2;;;;;;7;7;5;5;1;80,61;132;1;2;46,43;3;;;2;5;50;2;1;33;;4;2;;4;;9;;;7;123,4;-52,37;4,93;FALSE
Dønnum;MO;5,36;1,21;1;100;7,5;Toulouse;67,12;53,299;54,256;54,084;2;1;;;1;3;10;39;7;18;7;82,7;371;8;5;46,15;10;;;17;10;52,27;5;9;80;11;10;9;;;;-1;;;12;191,71;-147,09;-8,23;FALSE
Sierralta;DC;5,33;1,13;1;100;6,5;Auxerre;42,71;43,938;41,734;43,012;2;;;;;;5;5;4;4;;88,59;352;6;2;65,22;4;;;8;12;0;32;7;34;;5;;;-2;;-4;;;3;161,32;-127,33;-9,8;TRUE
Nuno Mendes;DL;5,33;0,82;1;50;7;Paris;81,71;86,587;84,868;85,501;2;;1;1;1;2;3;21;3;17;2;90,51;324;2;5;42,86;2;;;12;10;50;4;3;52;8;5;6;;3;;6;;2;10;145,17;-112,92;-13,68;FALSE
Namaso;A;5,33;0,88;1;83;6,5;Auxerre;42,71;43,938;41,734;43,012;1;;;;;1;13;13;8;8;5;76,65;236;1;4;44,83;12;;;12;11;66,67;5;8;71;7;4;14;;-4;;-6;1;1;16;151,95;-99,65;1,12;FALSE
Sidibé;DL;5,29;1,25;1;71;7,5;Toulouse;67,12;53,299;54,256;54,084;2;;;;;;2;5;1;2;3;59,72;251;4;6;68;6;;;8;12;57,14;13;7;55;2;7;;;;;-1;;;4;125,86;-112,29;-11,39;FALSE
Hein;MO;5,25;1,08;1;100;5,5;Metz;32,88;31,043;30,698;29,793;1,5;1;;;2;4;7;60;6;42;6;91,52;422;1;2;36,11;2;;;3;11;53,57;1;13;70;12;7;11;;-4;;-10;;2;11;173;-135,5;-4,43;FALSE
Dier;DC;5,25;1,21;1;100;7,5;Monaco;77,91;57,518;60,319;59,308;;;;;;;3;3;3;3;;92,2;557;7;3;50;6;;;6;11;50;26;8;38;1;5;;;1;;3;;;3;146,92;-124,33;-13,82;FALSE
Gouiri;A;5,25;0,88;1;83;7;Marseille;78,6;66,907;65,096;64,196;1,5;;;;1;1;10;76;8;58;6;85,34;161;1;2;47,62;;;;3;7;50;;3;40;7;2;2;;4;;11;3;11;11;96;-46,23;3,2;FALSE
Le Bris;DL;5,25;0,82;1;50;6,5;Lorient;39,37;38,616;38,894;39,684;1;;;;;1;5;17;4;13;;90,14;147;1;4;63,16;2;;;4;5;53,33;4;7;15;2;6;1;;-1;;-6;;1;1;94,92;-61,42;-4,67;FALSE
Cresswell;DC;5,21;0,81;1;100;4;Toulouse;67,12;53,299;54,256;54,084;2;;;;;;8;35;4;23;1;86,45;404;5;;54,69;8;;;13;12;0;46;9;42;1;1;1;;;;-1;1;5;1;179,91;-150,21;-13,77;FALSE
Sulc;MO;5,21;0,64;1;14;6;Lyon;63,21;62,089;62,786;62,191;1;;;;1;2;7;7;4;4;3;50,49;68;1;;29,17;7;;;2;2;0;;4;22;2;1;2;;3;;4;1;1;8;67,21;-38,29;-1,24;FALSE
Karabec;MO;5,21;0,7;1;71;6,5;Lyon;63,21;62,089;62,786;62,191;5;;;;;;5;5;5;5;6;71,93;200;1;1;55,88;7;;;1;1;53,57;1;;44;8;7;2;;3;;4;1;1;11;90,34;-55,19;-0,1;FALSE
Balogun;A;5,2;0,84;1;60;6;Monaco;77,91;57,518;60,319;59,308;1;;;;1;1;11;20;4;11;2;69,22;126;2;2;47,06;6;;;1;4;50;;4;42;2;8;4;;;;-1;1;3;11;101,46;-57,12;2,88;FALSE
Vaz;A;5,17;0,98;1;17;6,5;Marseille;78,6;66,907;65,096;64,196;1;;;;1;1;3;5;3;4;2;41,67;42;1;3;46,67;4;;;;1;50;1;2;12;2;6;2;;2;;6;2;3;6;70,08;-16,38;3,9;TRUE
Leroux;MO;5,14;0,69;1;71;6,5;Nantes;23,92;41,358;41,8;41,795;1;;;;;;3;12;3;10;1;71,57;248;3;7;57,58;3;;;7;7;61,11;10;3;53;4;12;3;;-2;;-2;;1;8;106,43;-78,14;-7,11;FALSE
Embolo;A;5,13;0,95;1;100;6,5;Rennes;57,29;46,206;47,639;46,507;0,5;;;;;;3;42;2;29;;62,77;84;2;2;35,14;10;;;3;5;100;1;3;31;2;2;6;;1;;2;;12;4;77,28;-33,08;5,78;FALSE
Vossah;MO;5,13;1,18;1;0;6;Toulouse;67,12;53,299;54,256;54,084;;;;1;1;1;3;3;2;2;;54,81;40;1;;42,86;1;;;;;50;3;1;7;1;1;1;;;;-2;;;;83,13;-53,62;0,33;FALSE
Bentaleb;MD;5,07;0,61;1;29;6;Lille;76,08;71,844;67,073;68,927;;1;;;;;6;11;5;7;;83,36;194;;;62,5;3;;;2;11;57,14;4;4;27;2;2;;;1;;4;;;;70,14;-45,64;-3,74;FALSE
Peprah Oppong;DC;5,07;0,89;1;86;5;Nice;36,79;44,669;46,073;47,603;2;;;;;1;3;3;3;3;1;87,13;478;8;11;60;8;;;9;8;62,5;23;9;40;6;5;3;;-1;;-3;;;1;172,36;-156,71;-17,43;FALSE
Guilavogui;A;5;0,76;1;29;6;Lens;71,29;60,74;60,25;60,218;;;;;;1;7;7;3;3;1;71,43;141;1;6;72,5;3;;;7;4;50;3;2;35;1;9;;;2;;4;3;3;6;72,77;-35,29;3,34;FALSE
Édouard;A;5;1,22;1;75;6,5;Lens;71,29;60,74;60,25;60,218;0,5;;;;;1;4;4;3;3;;88,89;60;;1;32;3;;;2;1;0;2;2;17;2;1;6;;1;;2;2;2;5;71,75;-31,9;6,6;TRUE
Sima;A;5;1,41;1;0;6;Lens;71,29;60,74;60,25;60,218;;;;;;;1;32;1;23;;58,34;26;;1;66,67;;;;;;0;1;1;8;2;2;;;;;-1;;8;2;78,8;-17,5;15,5;FALSE
