Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Mensah;DL;4,86;0,75;0;100;;Auxerre;42,71;43,938;41,734;43,012;2;;;;;;1;4;;3;1;82,11;423;7;8;65,12;4;;;22;12;52,17;17;9;70;2;13;3;;-3;;-5;;;10;135,86;-164,86;-15,03;FALSE
Gonçalo Ramos;A;4,86;0,56;0;71;6;Paris;81,71;86,587;84,868;85,501;4;;;;;;14;69;8;43;5;77,74;160;1;4;45,45;5;;;5;2;0;2;4;37;3;8;3;;4;;8;2;20;6;58,19;-33,07;-1,16;FALSE
Méthalie;DL;4,86;0,69;0;71;;Toulouse;67,12;53,299;54,256;54,084;3;;;;;;4;4;3;3;4;78,76;233;7;11;46,97;17;;;11;12;53,85;16;5;59;2;9;3;;;;-1;1;1;19;137,64;-155,57;-15,93;FALSE
Kehrer;DC;4,83;1,15;0;100;6;Monaco;77,91;57,518;60,319;59,308;;;;;;;4;13;;5;;87,6;234;1;2;61,9;3;;;2;10;50;7;2;24;;3;;;1;;2;1;2;1;119,67;-138,33;-8,27;FALSE
Igor Silva;DC;4,83;2,02;0;100;;Lorient;39,37;38,616;38,894;39,684;1;;;;;;1;17;;10;1;87,7;208;5;2;64,71;4;;;5;6;58,33;10;8;24;3;3;;;-1;;-3;;;2;170,5;-212,33;-31,37;FALSE
Cadiou;MD;4,83;0,29;0;33;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;22;;11;;71,43;47;2;1;62,5;;;;3;1;0;;5;11;;2;1;;-1;;-8;;1;1;36;-35,83;-3,7;FALSE
Mboula;DC;4,83;0,29;0;100;;Metz;32,88;31,043;30,698;29,793;;;;;;;;3;;1;;84,97;122;2;3;71,43;2;;;3;1;50;5;3;19;;5;;;-2;;-4;;;1;63,67;-83,33;-11,93;TRUE
Makalou;MD;4,83;0,41;0;17;;Brest;60,63;46,703;47,511;48,014;;;;;;;2;2;;;2;48,4;69;1;1;25;1;;;3;2;0;1;4;24;4;3;3;;-2;;-2;;;2;26,92;-36,5;-5,57;FALSE
Merah;MD;4,83;0,61;0;67;;Lyon;63,21;62,089;62,786;62,191;4;;;;;1;2;2;2;2;2;89,8;177;1;1;36,67;8;;;8;6;50;2;;29;5;7;2;;4;;5;2;2;12;67,53;-59,2;-3,62;FALSE
Namli;MO;4,83;0,26;0;33;;Le Havre;21,4;33,361;32,121;31,78;;;;;;1;2;2;1;1;2;71,56;118;4;5;44,83;3;;;5;10;63,64;2;3;36;2;5;3;;-1;;-1;;;9;45,32;-29,4;-0,73;FALSE
Touré;MD;4,8;1,1;0;60;5,5;Le Havre;21,4;33,361;32,121;31,78;1;;;;;;5;42;3;23;1;87,02;181;4;3;46,67;5;;;4;5;50;4;1;33;2;5;5;;-1;;;1;2;7;91;-94,8;-9,48;FALSE
Mandi;DC;4,8;0,57;0;80;;Lille;76,08;71,844;67,073;68,927;;;;;;;1;6;1;2;4;90,09;288;6;5;62,5;6;;;7;7;53,85;7;6;30;3;4;;;;;3;;1;;96,1;-122,8;-13,58;FALSE
Camara;MD;4,8;0,57;0;80;6;Rennes;57,29;46,206;47,639;46,507;0,5;;;;;;1;41;1;24;1;91,73;193;1;4;52,94;7;;;2;7;50;8;3;17;3;4;2;;;;-3;;6;4;81,9;-111,4;-6,22;FALSE
Hanin;DL;4,8;0,45;0;40;7;Angers;22,09;31,169;32,475;32,021;1;;;;;;;10;;4;;68,34;103;;3;50;1;;;;2;53,85;6;3;22;1;2;1;;-2;;-7;;;2;50,6;-71,7;-8,46;FALSE
Bah;DC;4,8;1,25;0;100;;Nice;36,79;44,669;46,073;47,603;1;;;;;1;1;4;;2;;93,58;398;3;4;54,35;8;;;16;10;0;25;9;24;1;3;1;;-1;;-3;;;1;138,4;-185,6;-20,38;FALSE
Nicolaisen;DC;4,79;0,57;0;71;6;Toulouse;67,12;53,299;54,256;54,084;;;;;;;4;4;2;2;;83,59;225;5;5;68,89;9;;;4;6;50;34;8;35;1;4;;;;;-1;;;2;93,73;-118;-10,1;FALSE
Cherif;A;4,79;0,7;0;71;;Angers;22,09;31,169;32,475;32,021;1;;;;;;11;12;7;8;5;66,14;142;2;;35,29;5;;;6;10;55,56;;7;52;;12;6;;-3;;-8;;1;13;64,73;-46,44;-2,51;FALSE
Seko;DC;4,79;0,49;0;86;;Le Havre;21,4;33,361;32,121;31,78;0,5;;;;;;3;3;;;;82,28;262;4;4;56,41;11;;;5;11;50;18;8;43;1;10;;;-2;;-2;;;3;93,5;-92,93;-9,99;FALSE
Mouton;MD;4,75;0,82;0;67;;Angers;22,09;31,169;32,475;32,021;0,5;;;;;1;5;23;2;10;1;70,53;132;;3;32;3;;;2;5;57,14;2;2;37;2;4;4;;-2;;-7;1;3;6;61,67;-68,67;-4,18;FALSE
Mvogo;G;4,75;0,5;0;100;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;;;;;NaN;;;;100;;4;1;;;0;4;6;;;;;4;-1;;-4;;;;87,25;-101,25;-31,95;FALSE
Mawissa;DC;4,75;1,19;0;100;6;Monaco;77,91;57,518;60,319;59,308;;;;;;;;1;;1;1;95,09;392;6;3;57,58;2;;;9;13;50;23;6;21;;3;2;;;;;;1;2;157,63;-181,75;-11,57;TRUE
Akpa;DL;4,75;1,04;0;83;;Auxerre;42,71;43,938;41,734;43,012;1;;;;;1;3;7;1;3;1;81,51;350;6;4;76,74;1;;;5;8;66,67;21;8;46;5;4;;;-2;1;-4;;1;1;131,95;-165,25;-14,52;FALSE
Tiago Santos;DL;4,75;0,35;0;50;7;Lille;76,08;71,844;67,073;68,927;;;;;;;1;1;1;1;;66,67;71;;1;53,33;3;;;;2;50;2;1;20;1;3;1;;-1;;-1;;;6;86;-140;-13,3;FALSE
Zogbé;DL;4,75;0,35;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;8;;4;;50;2;;;0;1;;;1;;0;1;;;;;;;1;;2;;;;6,25;-27;-3,5;FALSE
Nanasi;MO;4,75;0,35;0;50;6;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;22;;11;;94,12;31;;1;20;1;;;;;50;1;;6;1;1;;;2;;2;;5;3;27,25;-29;-2,95;TRUE
Aït Boudlal;DC;4,75;1,06;0;100;;Rennes;57,29;46,206;47,639;46,507;;;;;;;;3;;;;86,31;44;2;1;50;1;;;1;2;0;2;1;7;;;;;2;;3;;;2;48;-96;-5,05;FALSE
Jansson;A;4,75;0,27;0;50;;Nice;36,79;44,669;46,073;47,603;0,5;;;;;1;6;6;4;4;2;69,72;108;3;3;32,26;4;;;3;5;66,67;;4;33;2;7;3;;-1;;-3;1;1;7;53,75;-49,23;-2,88;FALSE
Abuashvili;A;4,75;0,29;0;50;;Metz;32,88;31,043;30,698;29,793;;;;;;;5;5;2;2;1;87,68;99;;2;38,46;2;;;5;1;60;1;3;18;2;4;5;;-2;;-4;;;2;56,8;-51,15;-1,95;FALSE
Tati;DC;4,75;0,69;0;100;;Nantes;23,92;41,358;41,8;41,795;1;;;;;;1;1;1;1;;87,28;371;7;2;46,15;9;;;7;2;0;23;5;40;1;3;;;-2;;-2;;;2;83,75;-109,33;-8,45;FALSE
Caio Henrique;DL;4,71;0,57;0;57;4,5;Monaco;77,91;57,518;60,319;59,308;0,5;;;;;1;1;5;1;3;5;77,94;307;1;3;43,33;5;;;9;10;55,88;12;6;62;4;5;2;;2;;4;;;3;95,5;-140,71;-16,29;FALSE
Ekomié;DL;4,71;0,91;0;71;;Angers;22,09;31,169;32,475;32,021;;;;;;;4;4;3;3;4;84,11;277;7;11;62,96;8;;;19;8;55,88;12;9;54;3;12;3;;-3;;-8;2;2;14;131,29;-171,5;-11,89;FALSE
McKenzie;DC;4,71;1,07;0;100;6,5;Toulouse;67,12;53,299;54,256;54,084;2;;;;;;;8;;7;;84,54;375;5;8;46,34;8;;;9;7;50;33;9;45;3;7;;;;;-1;;3;3;115,97;-132,29;-16,7;FALSE
Abdul Samed;MD;4,7;0,45;0;60;7;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;1;91,28;127;4;;36,84;5;;;4;3;0;;3;15;;3;3;;-1;;-1;;;4;47,4;-50,6;-5,42;FALSE
Köhn;G;4,7;0,76;0;80;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;NaN;;;;0;;6;3;;;0;1;6;;;;;4;2;;3;;;;63,6;-63;-17,8;FALSE
Ibou Sané;A;4,7;0,45;0;20;6,5;Metz;32,88;31,043;30,698;29,793;1;;;;;;1;14;1;8;1;94,35;75;1;3;60;2;;;1;2;55,56;;3;15;;2;2;;-3;;-5;;3;5;38,28;-19,34;-0,78;FALSE
Courcoul;MD;4,7;0,67;0;20;;Angers;22,09;31,169;32,475;32,021;;;;;;;;3;;2;1;56,06;52;1;2;46,15;1;;;2;2;0;1;;16;2;2;2;;-2;;-7;;;2;30,5;-56;-5,24;FALSE
Chergui;DC;4,67;1,33;0;83;;Paris FC;28,71;31,83;34,544;33,762;1;;;;;;2;3;2;3;;92,36;330;2;5;57,58;4;;;9;6;50;16;10;27;1;4;1;;;;-1;;;4;97,83;-136,42;-20,4;FALSE
Brassier;DC;4,67;0,29;0;67;5,5;Rennes;57,29;46,206;47,639;46,507;;;;;;;;16;;6;;86,83;210;1;2;55;;;;1;7;50;8;4;27;;2;3;;;;;;4;1;102,83;-140,67;-18,3;FALSE
Machado;DL;4,67;0,29;0;100;7;Lens;71,29;60,74;60,25;60,218;;;;;;;6;27;3;12;1;85,47;136;3;;40;3;;;7;5;50;4;3;23;;2;4;;1;;2;1;4;3;117,17;-148,33;-15,03;TRUE
Mvuka;MO;4,67;0,88;0;33;;Lorient;39,37;38,616;38,894;39,684;;;;;;;3;21;2;18;2;64,3;126;5;3;55,88;3;;;7;3;50;7;10;24;;3;2;;-3;;-11;;;1;76,08;-121,17;-8,12;FALSE
Garcia;DL;4,67;0,29;0;33;6;Marseille;78,6;66,907;65,096;64,196;;;;;;;1;6;;2;;86,35;89;;2;60;2;;;1;;50;5;4;9;;1;;;-1;;1;;;2;66,83;-89,33;-11,7;FALSE
Kluivert;DC;4,67;0,58;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;;;;;;66,67;17;;;0;;;;;;0;2;2;;;1;;;1;;2;;;;6;-33,33;-7,4;FALSE
Talbi;DC;4,64;1,55;0;100;7;Lorient;39,37;38,616;38,894;39,684;2;;;;;;3;20;;7;;91,89;388;4;3;62,16;1;;;11;4;50;34;14;28;1;3;1;;-2;;-7;;1;2;118,31;-160,14;-19,99;FALSE
Sangui;DL;4,64;0,75;0;43;;Paris FC;28,71;31,83;34,544;33,762;;;;;;2;1;1;;;2;79,41;204;1;2;75;1;;;6;3;63,64;8;7;26;5;1;1;;;1;-1;;;4;52,29;-94,79;-9,44;FALSE
Mboup;A;4,63;0,75;0;50;;Brest;60,63;46,703;47,511;48,014;0,5;;;;;1;3;81;1;47;2;62,92;84;2;2;32,56;7;;;8;3;0;1;1;39;2;4;6;;1;;4;;6;12;77,35;-72,5;-5,15;FALSE
Bokele;A;4,63;0,25;0;25;;Metz;32,88;31,043;30,698;29,793;0,5;;;;;;1;23;1;17;1;79,17;93;;1;52,63;1;;;4;1;66,67;1;3;21;1;2;1;;-3;;-7;;2;3;47,1;-36,22;-2,65;FALSE
Sanson;MD;4,6;0,22;0;0;6;Nice;36,79;44,669;46,073;47,603;;;;;;;1;10;;4;;88,18;59;;1;26,32;4;;;1;3;50;;2;10;1;1;2;;-1;;-4;1;2;2;27,5;-44;-3,74;FALSE
Majecki;G;4,6;1,08;0;100;;Brest;60,63;46,703;47,511;48,014;2;;;;;;;;;;;NaN;;;;50;;7;2;;;0;2;5;;;;;2;-1;;-2;;;;80,8;-90;-10,3;FALSE
Samatta;A;4,58;0,86;0;83;;Le Havre;21,4;33,361;32,121;31,78;1,5;;;;;;12;12;6;6;2;73,3;149;1;1;34,92;9;;;2;3;50;;5;51;4;6;10;;-2;;-2;1;1;16;58,72;-52,42;-2,15;TRUE
Casimir;A;4,58;0,74;0;100;6,5;Auxerre;42,71;43,938;41,734;43,012;1;;;;;;8;30;5;20;6;75,4;270;4;7;49,28;10;;;11;8;56,67;4;9;67;4;11;7;;-4;;-6;3;3;11;128,75;-167,65;-7,73;FALSE
Zouaoui;DL;4,58;0,58;0;100;;Le Havre;21,4;33,361;32,121;31,78;1,5;;;;;;4;9;2;5;4;74,78;415;6;5;38;10;;;19;4;55,56;14;7;104;5;9;8;;-2;;-2;;;6;163,25;-227;-25,27;FALSE
Abergel;MD;4,57;1,77;0;100;7,5;Lorient;39,37;38,616;38,894;39,684;2;;;;;;7;27;5;21;2;87,83;536;3;8;49,06;10;;;13;15;66,67;13;14;72;5;8;4;;-2;;-7;1;1;5;154,86;-184,07;-17,84;FALSE
Bard;DL;4,57;1,57;0;86;6,5;Nice;36,79;44,669;46,073;47,603;2;;;;;2;6;27;2;14;5;78,95;457;4;4;48,15;5;;;16;18;58,33;17;9;84;6;12;9;;-1;;-3;;3;9;173,64;-221,64;-21,67;FALSE
Ghezzal;MO;4,5;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;1;1;1;1;1;39,28;20;;1;42,86;1;;;1;1;50;;3;4;;;;;;;-1;;;1;17,35;-11,4;-0,3;FALSE
Ikoné;MO;4,5;0;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;22;;14;1;93,75;27;;;50;;;;;1;0;2;;3;1;2;;;1;;2;;5;1;17,35;-6,3;0,1;FALSE
Deminguet;MO;4,5;0,71;0;67;;Metz;32,88;31,043;30,698;29,793;1;;;;;;1;18;1;13;2;86,28;191;6;5;45,45;4;;;5;6;50;3;5;30;;6;8;;-4;;-8;;;2;68,92;-103,83;-7,27;FALSE
Kolodziejczak;DC;4,5;0,71;0;50;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;13;;3;;75,68;98;1;;33,33;;;;1;;0;7;1;9;1;;;;;1;;;1;;44,5;-103;-6,4;FALSE
Sangante;DC;4,5;0,71;0;100;6,5;Le Havre;21,4;33,361;32,121;31,78;1;;;;;;;4;;3;;84,86;456;7;2;61,11;9;;;8;4;0;25;8;49;2;5;2;;-2;;-2;;;2;115;-167,5;-15,35;FALSE
Mara;A;4,5;0,41;0;75;7;Auxerre;42,71;43,938;41,734;43,012;1;;;;;;8;24;7;20;1;71,28;90;;2;42,86;6;;;;4;0;;4;25;2;6;2;;-2;;-3;1;3;5;50,15;-42,95;-0,52;FALSE
Dieng;A;4,5;0;0;0;5,5;Lorient;39,37;38,616;38,894;39,684;;;;;;;2;12;2;9;1;NaN;4;;;20;3;;;;;0;;;2;;;1;;-1;;-2;;2;;29;-14,8;0,1;FALSE
Raghouber;MD;4,5;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;12;;4;;66,67;9;;;0;;;;;1;0;;;3;;1;;;1;;6;;;;15;-21,5;-5,3;FALSE
Nagida;DL;4,5;1;0;0;4,5;Rennes;57,29;46,206;47,639;46,507;;;;;;;3;7;1;4;1;90,4;63;1;;60;2;;;2;1;66,67;4;4;10;1;1;;;1;1;-1;1;1;2;63;-115,75;-12,65;FALSE
Coulibaly;MD;4,5;0,41;0;50;;Monaco;77,91;57,518;60,319;59,308;;;;;;;1;2;1;2;1;46,66;108;1;4;47,06;4;;;2;1;50;2;4;12;1;3;1;;1;;;;;4;45,5;-64,87;-6,6;TRUE
Edjouma;A;4,5;0,61;0;40;6;Toulouse;67,12;53,299;54,256;54,084;1;;;;;;1;6;1;4;3;64,61;91;3;2;31,25;2;;;2;7;58,33;5;2;31;5;2;6;;;;-1;;2;6;44,02;-33,06;-1,36;FALSE
Bombito;DC;4,5;0,71;0;100;;Nice;36,79;44,669;46,073;47,603;;;;;;;;7;;2;;79,77;81;2;2;60;3;;;2;2;0;6;;11;;;1;;;;;;1;;121;-175,5;-3,25;TRUE
Molébé;A;4,5;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;;;;;;60;5;;;0;;;;;;0;;;2;;;;;1;;1;;;;;-4,5;-0,8;FALSE
Diop;A;4,5;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;1;1;1;1;;50;7;;;75;;;;;1;0;;1;2;;1;1;;-2;;-4;;;;11,35;-2,6;0,25;TRUE
Bodart;G;4,5;0;0;100;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;NaN;;;;0;;1;;;;0;1;1;;;;;;-1;;-1;;;;30;-40;-18,2;FALSE
Bourgault;DL;4,5;0;0;0;7;Brest;60,63;46,703;47,511;48,014;;;;;;;1;3;;2;;100;11;1;;50;;;;;;0;1;2;;;;;;-1;;-2;;;;37;-108;-19;FALSE
Guerti;MO;4,5;0;0;0;;Metz;32,88;31,043;30,698;29,793;;;;;;;;;;;;75;15;1;1;75;;;;;1;0;;3;4;;;1;;-1;;-3;;;1;44,5;-64,5;-7,3;TRUE
Hidalgo;A;4,5;0,45;0;17;;Toulouse;67,12;53,299;54,256;54,084;;;;;2;;1;1;;;;70,88;79;;3;42,31;4;;;2;4;50;1;1;27;3;1;3;;;;-1;;;8;30,45;-23,33;-1,07;FALSE
Camara;A;4,5;0,35;0;20;;Nantes;23,92;41,358;41,8;41,795;;;;;;;3;3;2;2;2;56,64;61;1;2;30,77;2;;;5;3;50;;1;18;;2;4;;-1;;-1;1;1;5;37,8;-29,12;-1,24;FALSE
Mukiele;A;4,5;0;0;0;;Rennes;57,29;46,206;47,639;46,507;;;;;;;2;2;2;2;1;90,91;24;;;14,29;3;;;1;;50;1;;6;1;;2;;;;;;;2;40,7;-35,2;-1,1;FALSE
Jangeal;MO;4,5;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;;;;;100;13;;;0;1;;;;1;0;1;;1;;2;1;;1;;2;;;;9;-8,5;-0,9;TRUE
Mbaye;A;4,43;0,73;0;43;6;Paris;81,71;86,587;84,868;85,501;2;;;;;;4;14;2;8;3;88,59;259;1;3;36,59;5;;;1;10;54,55;;2;59;6;4;4;;4;;8;1;6;15;44,21;-37,96;-2,83;FALSE
Machine;A;4,42;0,38;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;7;8;2;3;1;70,83;52;;1;25;3;;;2;1;50;1;;17;;4;4;;-2;;-3;1;1;3;20,6;-24,12;-1,1;FALSE
Yongwa;DL;4,4;0,89;0;20;7;Lorient;39,37;38,616;38,894;39,684;;;;;;1;1;29;1;15;;68,73;58;1;;36,36;3;;;;1;60;2;3;15;1;3;;;-3;;-9;;1;3;26;-109,1;-9,8;FALSE
Kvaratskhelia;A;4,4;0,42;0;60;7;Paris;81,71;86,587;84,868;85,501;1;;;;;;6;63;3;38;2;90,63;173;2;1;48,57;2;;;1;2;0;2;3;35;1;8;5;;3;;7;;6;7;38,12;-33,46;-1,9;FALSE
Sotoca;A;4,38;0,25;0;0;7;Lens;71,29;60,74;60,25;60,218;;;;;;;;33;;21;;35,42;23;2;;33,33;1;;;;;0;1;;9;;1;1;;2;;5;;3;2;6,18;-6,55;-0,7;FALSE
Kevin Carlos;A;4,38;0,63;0;75;;Nice;36,79;44,669;46,073;47,603;1;;;;;;11;11;8;8;4;75,89;68;;;45,71;7;;;1;;0;2;6;19;;;2;;;;-2;5;5;6;53,1;-51,45;-1,5;FALSE
Locko;DL;4,36;0,9;0;100;;Brest;60,63;46,703;47,511;48,014;1,5;;;;;;2;3;1;1;2;78,42;363;4;10;47,62;5;;;16;10;61,9;12;9;76;3;11;6;;-1;;;;;10;127,21;-193,29;-21,56;FALSE
Kouao;DL;4,36;0,8;0;100;;Metz;32,88;31,043;30,698;29,793;1;;;;;;3;12;2;8;4;85,6;407;2;15;52,05;11;;;18;11;56;19;12;45;5;12;5;;-5;;-11;;1;7;154,14;-242,86;-20,31;FALSE
Mambimbi;A;4,36;0,38;0;14;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;3;3;1;1;;35,71;50;2;1;35;6;;;1;4;0;2;2;18;1;2;2;;-2;;-2;1;1;4;14,67;-13,46;-0,76;FALSE
Chilwell;DL;4,33;0,58;0;100;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;5;;3;;80,02;159;;3;43,48;2;;;4;1;50;11;4;36;;1;3;;1;;1;;;8;85,5;-182,33;-27,7;FALSE
Kamara;G;4,33;2,08;0;100;;Lorient;39,37;38,616;38,894;39,684;1;;;;;;;;;;;NaN;;;;100;;5;2;;;0;2;8;;;;;3;-1;;-3;;;;92;-170;-75,97;FALSE
Allevinah;A;4,33;0,29;0;0;6,5;Angers;22,09;31,169;32,475;32,021;;;;;;;2;33;1;20;;93,33;31;;1;50;;;;2;2;50;1;;9;;1;1;;;;;;5;2;19,9;-14,13;-0,53;TRUE
Julien Lopez;MO;4,33;0,29;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;16;;11;;47,22;12;1;;0;;;;1;;50;;1;4;;;1;;-1;;-2;;2;;4,67;-5,47;-0,5;FALSE
Brunner;A;4,33;0,29;0;33;;Monaco;77,91;57,518;60,319;59,308;;;;;;;1;1;1;1;1;50,93;32;1;1;31,25;6;;;;3;0;;2;15;;1;1;;3;;6;;;5;19,73;-26;-2,1;FALSE
Siwe;DC;4,33;0,29;0;100;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;1;1;;;1;83,27;100;4;3;37,5;2;;;2;3;0;6;3;17;1;4;2;;-1;;-2;;;2;73,33;-144;-16;TRUE
Sabaly;A;4,3;0,45;0;80;6,5;Metz;32,88;31,043;30,698;29,793;1;;;;1;1;2;50;1;36;3;73,82;144;2;3;34,88;4;;;5;7;50;2;8;45;3;5;6;;-3;;-7;1;9;11;83,1;-111,08;-3,82;FALSE
Stambouli;MD;4,3;1,15;0;100;;Metz;32,88;31,043;30,698;29,793;1;;;;;1;3;19;1;11;1;80,45;283;3;6;50;7;;;10;12;60;9;10;59;6;6;3;;-4;;-8;;;7;129,9;-188;-19,46;TRUE
Afonso Moreira;A;4,3;0,45;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;1;1;;;;73,33;30;1;2;31,25;4;;;1;2;50;;2;7;;1;2;;3;;5;;;;16,94;-18,42;-0,72;FALSE
Hamel;A;4,25;0,35;0;50;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;28;;14;;33,34;12;1;;25;2;;;1;;0;;2;3;;;;;-2;;-4;;6;;9;-17,9;-0,6;TRUE
Abdi;DL;4,25;1,06;0;100;6,5;Nice;36,79;44,669;46,073;47,603;;;;;;;;24;;13;1;70,84;39;2;;33,33;2;;;1;2;50;1;;8;;2;;;;;;;4;1;50;-139;-7;FALSE
Doucet;MD;4,25;1,06;0;50;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;1;11;;4;;88,89;49;;;20;4;;;;;0;2;4;6;3;;2;;-2;1;-4;;;;50;-117,25;-6,45;TRUE
Kalumba;A;4,25;0,29;0;75;;Angers;22,09;31,169;32,475;32,021;0,5;;;;;;1;2;1;2;3;74,6;142;1;3;35,9;3;;;4;3;71,43;3;4;50;4;2;4;;-3;;-8;;;11;57,53;-69,47;-4,2;FALSE
Pizarro;A;4,25;0,35;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;50;5;;;25;1;;;;3;0;;;2;;;;;;;;;;1;6,5;-5,8;-0,45;FALSE
Nguene;A;4,25;0,35;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;75;21;2;;33,33;2;;;1;;50;;2;7;;1;1;;-2;;-3;;;3;12,5;-18,4;-1,2;TRUE
