Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
Verdonk;DL;4,25;0,35;0;50;;Lille;76,08;71,844;67,073;68,927;;;;;;;1;1;1;1;1;80,57;159;3;1;66,67;2;;;8;;50;4;4;26;4;8;;;-2;;-4;;;;138,75;-239;-24,65;FALSE
Yegbe;DC;4,2;1,6;0;100;;Metz;32,88;31,043;30,698;29,793;1,5;;;;;;1;1;1;1;1;85,13;358;4;3;60;3;;;12;4;60;29;10;55;1;6;;;-3;1;-7;1;1;6;109,68;-204,5;-27,62;FALSE
Meïté;DC;4,13;0,95;0;100;7;Lorient;39,37;38,616;38,894;39,684;1;;;;;;2;3;1;2;1;85,47;263;2;;44,44;4;;;6;3;50;14;6;39;;7;1;;-1;;-4;;;8;121,45;-214;-26,22;FALSE
Madjo;A;4,13;0,48;0;50;;Metz;32,88;31,043;30,698;29,793;;;;;;;3;3;2;2;1;28,89;37;;;46,15;2;;;;3;0;2;2;17;;4;2;;-4;;-8;;;7;18,15;-34,45;-0,85;FALSE
Faye;DC;4,08;1,59;0;83;;Lorient;39,37;38,616;38,894;39,684;;;;;;;4;4;1;1;;88,75;389;10;6;58,49;10;;;11;3;0;28;13;39;;5;3;;-1;1;-6;;;;129,98;-237,75;-26,88;FALSE
Trapp;G;4;0;0;100;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;;;;;NaN;;;;100;;;;;;0;1;2;;;;;;1;;1;;;;20;-60;-42,7;FALSE
Mbemba;DC;4;1,41;0;50;7,5;Lille;76,08;71,844;67,073;68,927;;;;;;;1;1;1;1;1;94,88;130;;4;55,56;4;;;2;3;0;11;4;7;1;4;2;;;;-2;;;1;136,25;-236;-21,2;FALSE
Touré;DC;4;0;0;100;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;90;44;2;;37,5;;;;1;1;0;5;2;10;;2;1;;;;;;;1;69;-181;-31,8;TRUE
Ganiou;DC;4;0;0;100;;Lens;71,29;60,74;60,25;60,218;;;;;;;;6;;1;;86,36;61;1;;36,36;4;;;2;3;50;5;1;11;;;;;1;;1;;;4;153;-235;-18,2;TRUE
Tiago Gouveia;MO;4;0,71;0;50;;Nice;36,79;44,669;46,073;47,603;;;;;;;3;3;1;1;1;78,11;67;;2;41,67;1;;;1;1;0;1;2;17;1;;1;;;;-2;;;3;53,9;-138,75;-14,15;FALSE
Ballo-Touré;DL;3,75;0,35;0;100;;Metz;32,88;31,043;30,698;29,793;;;;;;;2;2;1;1;;92,21;110;;2;62,5;;;;3;3;60;1;5;18;1;5;3;;-2;;-6;;;3;90,75;-245,25;-28,1;FALSE
Biumla;DC;3,67;1,89;0;33;4,5;Angers;22,09;31,169;32,475;32,021;;;;;;;;4;;2;;89,76;94;1;2;50;;;;6;4;0;8;5;15;;3;1;;-3;1;-8;;1;2;63;-199,67;-24,03;FALSE
Nzingoula;MO;3,5;0;0;0;6;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;15;;11;1;66,67;4;;;0;1;;;;;0;;1;2;1;1;1;;-1;;-1;;1;;19;-148;-2,8;TRUE
Colin;DL;3,33;1,53;0;33;;Metz;32,88;31,043;30,698;29,793;;;;;;;;;;;;89,49;130;;1;50;;;;6;;50;2;9;19;;5;2;;-3;;-7;;;3;44,47;-234,67;-34,2;FALSE
Hateboer;DL;3;0;0;0;;Rennes;57,29;46,206;47,639;46,507;;;;;;;;3;;1;;100;12;;;33,33;2;;;;;0;1;1;3;;;;;;1;;;;1;12;-216,5;-7,5;FALSE
Riou;G;0;0;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;80;-143,33;-49,2;TRUE
Dupé;G;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Bamba;DC;0;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;1;;;;83,76;;;;0;;;;;;0;;;;;;;;;;;;1;;93,81;-129,84;-15,05;FALSE
Leroy;G;0;0;0;0;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Tousart;MD;0;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Pogba;MO;0;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Asoro;A;0;0;0;0;6;Metz;32,88;31,043;30,698;29,793;;;;;;;;10;;7;;62,34;;;;0;;;;;;0;;;;;;;;;;;;1;;68,68;-46,45;1,37;TRUE
Caillard;G;0;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Gurtner;G;0;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Ndombélé;MD;0;0;0;0;7;Nice;36,79;44,669;46,073;47,603;;;;;;;;8;;5;;88,98;;;;0;;;;;;0;;;;;;;;;;;;3;;150,5;-96,25;-9,52;TRUE
André Gomes;MD;0;0;0;0;7;Lille;76,08;71,844;67,073;68,927;;;;;;;;10;;6;;90,94;;;;0;;;;;;0;;;;;;;;;;;;;;126,83;-97,2;-10,71;TRUE
Blanco;G;0;0;0;0;;Marseille;78,6;66,907;65,096;64,196;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;70,5;-40;-9,1;TRUE
Alakouch;DL;0;0;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;3;;2;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Domínguez;G;0;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;10;;0,6;FALSE
Bajic;G;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Centonze;DL;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;68,02;;;;0;;;;;;0;;;;;;;;;;;;;;66,24;-79,29;-6,19;TRUE
Mpasi;G;0;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Gallon;G;0;0;0;0;;Rennes;57,29;46,206;47,639;46,507;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;10;;;TRUE
Maupay;A;0;0;0;0;6;Marseille;78,6;66,907;65,096;64,196;;;;;;;;15;;10;;78,69;;;;0;;;;;;0;;;;;;;;;;;;6;;65,24;-32,85;3,76;TRUE
Diomandé;DC;0;0;0;0;4,5;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;9;;7;;82,73;;;;0;;;;;;0;;;;;;;;;;;;;;151,06;-173,33;-18,31;TRUE
Gueye;MO;0;0;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Touré;DC;0;0;0;0;7,5;Lorient;39,37;38,616;38,894;39,684;;;;;;;;4;;3;;89,58;;;;0;;;;;;0;;;;;;;;;;;;;;142,27;-179,77;-18,77;TRUE
Sow;DL;0;0;0;0;4,5;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;6;;3;;86,1;;;;0;;;;;;0;;;;;;;;;;;;1;;130,65;-176,1;-19,99;TRUE
Fadiga;MO;0;0;0;0;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;1;;1;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Himeur;G;0;0;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Lienard;G;0;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Nadje;A;0;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;1;;1;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Haug;G;0;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;63,5;-42,5;-17,1;FALSE
Wasbauer;DC;0;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Mangala;MD;0;0;0;0;6;Lyon;63,21;62,089;62,786;62,191;;;;;;;;14;;7;;93,1;;;;0;;;;;;0;;;;;;;;;;;;;;105,5;-151;-3;TRUE
Zinga;G;0;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;92;-130;-4,7;FALSE
Housni;A;0;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;4;;2;;43,61;;;;0;;;;;;0;;;;;;;;;;;;;;19,95;-20,77;-0,92;TRUE
Sobol;DL;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;58;;;;0;;;;;;0;;;;;;;;;;;;;;16,3;-22,25;-2,23;FALSE
Ndayishimiye;DC;0;0;0;0;7;Nice;36,79;44,669;46,073;47,603;;;;;;;;8;;4;;87,95;;;;0;;;;;;0;;;;;;;;;;;;1;;178,33;-128,63;-11,6;TRUE
Acapandié;DL;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Mbaye;A;0;0;0;0;;Metz;32,88;31,043;30,698;29,793;;;;;;;;11;;8;;57,31;;;;0;;;;;;0;;;;;;;;;;;;;;60,5;-54,5;-2,08;TRUE
Logbo;A;0;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;1;;;;75;;;;0;;;;;;0;;;;;;;;;;;;1;;9;-38;-2,8;TRUE
Buayi-Kiala;MD;0;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Sylla;DC;0;0;0;0;5;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;1;;1;;73,75;;;;0;;;;;;0;;;;;;;;;;;;;;80,7;-100,69;-10,17;FALSE
Ferro;MO;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Schmidt;MO;0;0;0;0;7,5;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;1;;;;84,12;;;;0;;;;;;0;;;;;;;;;;;;;;66,94;-40,11;-4,76;TRUE
Negrel;G;0;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Nuamah;A;0;0;0;0;6,5;Lyon;63,21;62,089;62,786;62,191;;;;;;;;23;;17;;79,99;;;;0;;;;;;0;;;;;;;;;;;;1;;93,39;-59,21;1,97;TRUE
Chávez;DL;0;0;0;0;7,5;Lens;71,29;60,74;60,25;60,218;;;;;;;;1;;1;;78,46;;;;0;;;;;;0;;;;;;;;;;;;;;124,75;-114,4;-11,32;FALSE
El Djebali;MO;0;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;;;;;;87,5;;;;0;;;;;;0;;;;;;;;;;;;;;13;-37;-6,4;TRUE
Sidi Ali;A;0;0;0;0;;Marseille;78,6;66,907;65,096;64,196;;;;;;;;1;;;;83,34;;;;0;;;;;;0;;;;;;;;;;;;;;12,75;-22,05;-1,65;TRUE
Adjei;DC;0;0;0;0;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;1;;1;;84,37;;;;0;;;;;;0;;;;;;;;;;;;;;112,08;-158,9;-18,58;FALSE
Mahamoud;A;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;50;;;;0;;;;;;0;;;;;;;;;;;;;;4,7;-9,4;-0,9;TRUE
Ollila;DL;0;0;0;0;;Paris FC;28,71;31,83;34,544;33,762;;;;;;;;2;;1;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Mongo;DC;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;NaN;5;1;1;33,33;;;;;;0;;1;2;;;;;1;;1;;;;27;-56;-9;TRUE
Dago;A;0;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;27;;20;;12,5;;;;0;;;;;;0;;;;;;;;;;;;2;;27,18;-3,65;0,25;TRUE
Abdallah;A;0;0;0;0;;Marseille;78,6;66,907;65,096;64,196;;;;;;;;;;;;100;;;;0;;;;;;0;;;;;;;;;;;;;;5;-3;-0,1;FALSE
Michal;A;0;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;3;;1;;82,29;;;;0;;;;;;0;;;;;;;;;;;;1;;15,34;-13,45;-0,63;FALSE
Sy;G;0;0;0;0;;Metz;32,88;31,043;30,698;29,793;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Kamara;MD;0;0;0;0;;Rennes;57,29;46,206;47,639;46,507;;;;;;;;;;;;84,55;;;;0;;;;;;0;;;;;;;;;;;;;;83,77;-61,85;-5,04;FALSE
Safonov;G;0;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;66,9;-27,5;-2,56;FALSE
Lahmadi;MD;0;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Argney;G;0;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Diallo;MO;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Tutu;G;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Pona;G;0;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Stawiecki;G;0;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Kanté;MO;0;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Ojediran;MD;0;0;0;0;6;Lens;71,29;60,74;60,25;60,218;;;;;;;;8;;6;;72,92;;;;0;;;;;;0;;;;;;;;;;;;;;64,44;-42,88;-3,46;TRUE
Diallo;MO;0;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Zohouri;MO;0;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Van Neck;G;0;0;0;0;;Marseille;78,6;66,907;65,096;64,196;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Salhi;A;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Doumbouya;DC;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;82,86;;;;0;;;;;;0;;;;;;;;;;;;;;54,5;-39,5;-3,45;FALSE
Coulibaly;DC;0;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;3;;2;;88,35;;;;0;;;;;;0;;;;;;;;;;;;;;96,36;-96,29;-8,79;TRUE
Mohamed Abdelmonem;DC;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;86,86;;;;0;;;;;;0;;;;;;;;;;;;;;121,53;-126,83;-10,15;TRUE
Marin;G;0;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Carlgren;G;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;153;-70;1,64;FALSE
Jauny;G;0;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Antonio;DC;0;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;1;;;;74,58;;;;0;;;;;;0;;;;;;;;;;;;;;65,17;-123,17;-10,63;TRUE
Nsingi;A;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;1;;1;;33,33;;;;0;;;;;;0;;;;;;;;;;;;;;28;-7,2;0,6;TRUE
Do Marcolino;A;0;0;0;0;;Rennes;57,29;46,206;47,639;46,507;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Lachaab;A;0;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;1;;1;;50;;;;0;;;;;;0;;;;;;;;;;;;;;9,9;-6,1;-0,2;TRUE
Delplace;G;0;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Celik;DC;0;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Tincrès;A;0;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;4;;2;;NaN;;;;0;;;;;;0;;;;;;;;;;;;1;;;;;TRUE
Doucouré;DC;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;40;;;;0;;;;;;0;;;;;;;;;;;;;;13,25;-2;1,35;TRUE
Kodia;A;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Kamara;DC;0;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;;;;;93,53;;;;0;;;;;;0;;;;;;;;;;;;;;36,25;-35;-2,55;TRUE
Rodríguez;A;0;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;;;;;;100;;;;0;;;;;;0;;;;;;;;;;;;;;16;-14;-1,2;FALSE
Ndjantou;A;0;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Hernani Mendes Vaz;MD;0;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Slama;MO;0;0;0;0;;Paris;81,71;86,587;84,868;85,501;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Barisic;DC;0;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;;;;;;100;;;;0;;;;;;0;;;;;;;;;;;;;;6,5;;1;TRUE
Oyedele;MD;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Mirbach;G;0;0;0;0;;Nantes;23,92;41,358;41,8;41,795;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Diarra;G;0;0;0;0;;Lyon;63,21;62,089;62,786;62,191;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Jourdren;G;0;0;0;0;;Lens;71,29;60,74;60,25;60,218;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Monteiro;MO;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Youssouf;DL;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Saïd Mchindra;G;0;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Kiwa;DC;0;0;0;0;;Monaco;77,91;57,518;60,319;59,308;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Lawson;DL;0;0;0;0;;Metz;32,88;31,043;30,698;29,793;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Coulibaly;MD;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Bernardeau;MO;0;0;0;0;;Nice;36,79;44,669;46,073;47,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Diaoune;A;0;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Irie;DC;0;0;0;0;;Brest;60,63;46,703;47,511;48,014;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Moussaoui;MO;0;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Sajous;G;0;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Baret;MD;0;0;0;0;;Lille;76,08;71,844;67,073;68,927;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Maréchal;MO;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Mélières;DL;0;0;0;0;;Metz;32,88;31,043;30,698;29,793;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Gomis;DC;0;0;0;0;;Le Havre;21,4;33,361;32,121;31,78;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Siba;DL;0;0;0;0;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Leaudais;DL;0;0;0;0;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Vignolo;A;0;0;0;0;;Toulouse;67,12;53,299;54,256;54,084;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Lung;DC;0;0;0;0;;Strasbourg;18,29;52,126;51,866;51,603;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Garin;MD;0;0;0;0;;Angers;22,09;31,169;32,475;32,021;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Sanusi;A;0;0;0;0;;Lorient;39,37;38,616;38,894;39,684;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Devernois;MD;0;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Rodin;A;0;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;TRUE
Legros;DC;0;0;0;0;;Auxerre;42,71;43,938;41,734;43,012;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
Silistre;G;0;0;0;0;;Rennes;57,29;46,206;47,639;46,507;;;;;;;;;;;;NaN;;;;0;;;;;;0;;;;;;;;;;;;;;;;;FALSE
